Year,TradeFlow,LatSource,LongSource,SourceCountry,LatEnd,LongEnd,Partner,QtyKg,TradeValueUSD
2017,Export,37.09024,-95.712891,USA,22.3193039,114.1693611,"China, Hong Kong SAR",0,130922123
2017,Re-Export,37.09024,-95.712891,USA,22.3193039,114.1693611,"China, Hong Kong SAR",0,259903
2016,Export,37.09024,-95.712891,USA,35.86166,104.195397,China,0,283035161
2016,Re-Export,37.09024,-95.712891,USA,35.86166,104.195397,China,0,1002337
2016,Export,37.09024,-95.712891,USA,22.3193039,114.1693611,"China, Hong Kong SAR",0,213033301
2016,Re-Export,37.09024,-95.712891,USA,22.3193039,114.1693611,"China, Hong Kong SAR",0,548427
2016,Import,37.09024,-95.712891,USA,22.3193039,114.1693611,"China, Hong Kong SAR",26034,47759
2017,Re-Export,37.09024,-95.712891,USA,35.86166,104.195397,China,55678,30179
2016,Export,22.3193039,114.1693611,"China, Hong Kong SAR",37.09024,-95.712891,USA,72319,91941
2016,Re-Export,22.3193039,114.1693611,"China, Hong Kong SAR",37.09024,-95.712891,USA,72319,91941
2017,Import,37.09024,-95.712891,USA,22.3193039,114.1693611,"China, Hong Kong SAR",105281,73172
2017,Export,22.3193039,114.1693611,"China, Hong Kong SAR",37.09024,-95.712891,USA,148973,58122
2017,Import,35.86166,104.195397,China,35.86166,104.195397,China,161580,116889
2017,Re-Import,35.86166,104.195397,China,35.86166,104.195397,China,161580,116889
2017,Export,35.86166,104.195397,China,22.3193039,114.1693611,"China, Hong Kong SAR",297612,1400824
2016,Export,35.86166,104.195397,China,22.3193039,114.1693611,"China, Hong Kong SAR",418902,191674
2016,Export,35.86166,104.195397,China,37.09024,-95.712891,USA,9322622,12504900
2017,Export,35.86166,104.195397,China,37.09024,-95.712891,USA,10073818,13239069
2016,Import,37.09024,-95.712891,USA,35.86166,104.195397,China,10695197,9497885
2017,Import,37.09024,-95.712891,USA,35.86166,104.195397,China,12250333,12926232
2016,Import,22.3193039,114.1693611,"China, Hong Kong SAR",35.86166,104.195397,China,20913181,7963709
2017,Import,22.3193039,114.1693611,"China, Hong Kong SAR",35.86166,104.195397,China,22319966,7272192
2017,Import,22.3193039,114.1693611,"China, Hong Kong SAR",37.09024,-95.712891,USA,520930648,175549819
2017,Export,37.09024,-95.712891,USA,35.86166,104.195397,China,558257267,190740802
2017,Import,35.86166,104.195397,China,37.09024,-95.712891,USA,576023749,313060055
2016,Import,35.86166,104.195397,China,37.09024,-95.712891,USA,693447380,352852709
2016,Import,22.3193039,114.1693611,"China, Hong Kong SAR",37.09024,-95.712891,USA,783937528,246026678
2017,Import,35.86166,104.195397,China,22.3193039,114.1693611,"China, Hong Kong SAR",914689630,482397059
2017,Export,22.3193039,114.1693611,"China, Hong Kong SAR",35.86166,104.195397,China,1710971300,540768914
2016,Import,35.86166,104.195397,China,22.3193039,114.1693611,"China, Hong Kong SAR",1778851162,828818583
2016,Re-Export,22.3193039,114.1693611,"China, Hong Kong SAR",35.86166,104.195397,China,2689220403,849199861
2016,Export,22.3193039,114.1693611,"China, Hong Kong SAR",35.86166,104.195397,China,2807348219,875224816